OPEs,mass,CTD_in_air,CTD_in_water,POV_air,POV_water,Carbon,Hydrogen,Chlorine ,Oxygen ,Phosphorus ,EPI_Suite_KAW,EPI_Suite_KOW,EPI_Suite_KOA,RT
TPP,327.0781,584,65,2,39,18,15,0,4,1,0.53,6.34,,14.554
TMTP,369.125,278.52,64,1,39,21,21,0,4,1,0.53,6.34,,17.902
TPTP,369.125,584,65,2,39,21,21,0,4,1,0.53,6.34,,18.091
TEP,183.0781,155,24,0,14,6,15,0,4,1,-4.6,0.9,5.5,10.848
TPrP,225.125,107,26,0,15,9,21,0,4,1,0.29,1.87,,14.074
TBP,267.172,101,7,0,4,12,27,0,4,1,-5.8,4.2,10,16.54
TBEP,399.2506,8,28,21,16,18,39,0,7,1,-9.3,3,12.3,17.076
EHDP,363.172,201,28,1,16,20,27,0,4,1,0.58,6.3,,18.616
TCEP,284.9612,,,,,6,12,3,4,1,-6,1.6,7.6,12.969
TCPP,327.0081,179,88,1,51,9,11,4,4,1,0.27,2.59,,14.565
